Date,Country,Confirmed,Recovered,Deaths
2020-03-31,France,52827,9513,3532
2020-03-31,Gabon,16,0,1
2020-03-31,Gambia,4,0,1
2020-03-31,Georgia,110,21,0
2020-03-31,Germany,71808,16100,775
2020-03-31,Ghana,161,31,5
2020-03-31,Greece,1314,52,49
2020-03-31,Grenada,9,0,0
2020-03-31,Guatemala,38,12,1
2020-03-31,Guinea,22,0,0
2020-03-31,Guinea-Bissau,8,0,0
2020-03-31,Guyana,12,0,2
2020-03-31,Haiti,15,1,0
2020-03-31,Holy See,6,0,0
2020-03-31,Honduras,141,3,7
2020-03-31,Hungary,492,37,16
2020-03-31,Iceland,1135,198,2
2020-03-31,India,1397,123,35
2020-03-31,Indonesia,1528,81,136
2020-03-31,Iran,44605,14656,2898
2020-03-31,Iraq,694,170,50
2020-03-31,Ireland,3235,5,71
2020-03-31,Israel,5358,224,20
2020-03-31,Italy,105792,15729,12428
2020-03-31,Jamaica,36,2,1
2020-03-31,Japan,1953,424,56
2020-03-31,Jordan,274,30,5
2020-03-31,Kazakhstan,343,24,2
2020-03-31,Kenya,59,1,1
2020-03-31,"Korea, South",9786,5408,162
2020-03-31,Kosovo,112,6,1
2020-03-31,Kuwait,289,73,0
2020-03-31,Kyrgyzstan,107,3,0
2020-03-31,Laos,9,0,0
2020-03-31,Latvia,398,1,0
2020-03-31,Lebanon,470,37,12
2020-03-31,Liberia,3,0,0
2020-03-31,Libya,10,1,0
2020-03-31,Liechtenstein,68,0,0
2020-03-31,Lithuania,537,7,8
2020-03-31,Luxembourg,2178,80,23
2020-03-31,MS Zaandam,2,0,0
2020-03-31,Madagascar,57,0,0
2020-03-31,Malaysia,2766,537,43
2020-03-31,Maldives,18,13,0
2020-03-31,Mali,28,0,2
2020-03-31,Malta,169,2,0
2020-03-31,Mauritania,6,2,1
2020-03-31,Mauritius,143,0,5
2020-03-31,Mexico,1094,35,28
2020-03-31,Moldova,353,18,4
2020-03-31,Monaco,52,2,1
2020-03-31,Mongolia,12,2,0
2020-03-31,Montenegro,109,0,2
2020-03-31,Morocco,617,24,36
2020-03-31,Mozambique,8,0,0
2020-03-31,Namibia,11,2,0
2020-03-31,Nepal,5,1,0
2020-03-31,Netherlands,12667,253,1040
2020-03-31,New Zealand,647,74,1
2020-03-31,Nicaragua,5,0,1
2020-03-31,Niger,27,0,3
2020-03-31,Nigeria,135,8,2
2020-03-31,North Macedonia,329,12,9
2020-03-31,Norway,4641,13,39
2020-03-31,Oman,192,34,1
2020-03-31,Pakistan,1938,76,26
2020-03-31,Panama,1181,9,30
2020-03-31,Papua New Guinea,1,0,0
2020-03-31,Paraguay,65,1,3
2020-03-31,Peru,1065,394,30
2020-03-31,Philippines,2084,49,88
2020-03-31,Poland,2311,7,33
2020-03-31,Portugal,7443,43,160
2020-03-31,Qatar,781,62,2
2020-03-31,Romania,2245,220,82
2020-03-31,Russia,2337,121,17
2020-03-31,Rwanda,75,0,0
2020-03-31,Saint Kitts and Nevis,8,0,0
2020-03-31,Saint Lucia,13,1,0
2020-03-31,Saint Vincent and the Grenadines,1,1,0
2020-03-31,San Marino,236,13,26
2020-03-31,Saudi Arabia,1563,165,10
2020-03-31,Senegal,175,40,0
2020-03-31,Serbia,900,0,16
2020-03-31,Seychelles,10,0,0
2020-03-31,Sierra Leone,1,0,0
2020-03-31,Singapore,926,240,3
2020-03-31,Slovakia,363,3,0
2020-03-31,Slovenia,802,10,15
2020-03-31,Somalia,5,1,0
2020-03-31,South Africa,1353,31,5
2020-03-31,Spain,95923,19259,8464
2020-03-31,Sri Lanka,143,17,2
2020-03-31,Sudan,7,1,2
2020-03-31,Suriname,9,0,0
2020-03-31,Sweden,4435,16,180
2020-03-31,Switzerland,16605,1823,433
2020-03-31,Syria,10,0,2
2020-03-31,Taiwan*,322,39,5
2020-03-31,Tanzania,19,1,1
2020-03-31,Thailand,1651,342,10
2020-03-31,Timor-Leste,1,0,0
2020-03-31,Togo,34,10,1
2020-03-31,Trinidad and Tobago,87,1,3
2020-03-31,Tunisia,394,3,10
2020-03-31,Turkey,13531,243,214
2020-03-31,US,188172,7024,3873
2020-03-31,Uganda,44,0,0
2020-03-31,Ukraine,645,10,17
2020-03-31,United Arab Emirates,664,61,6
2020-03-31,United Kingdom,25481,179,1793
2020-03-31,Uruguay,338,41,1
2020-03-31,Uzbekistan,172,7,2
2020-03-31,Venezuela,135,39,3
2020-03-31,Vietnam,212,58,0
2020-03-31,West Bank and Gaza,119,18,1
2020-03-31,Zambia,35,0,0
2020-03-31,Zimbabwe,8,0,1
